,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
115,LendingTree Inc, Common Stock, 52603B107, 33,862, 147,160, SH,  , OTR,  , 121,027, 5,547, 20,586],,,
116,magicJack VocalTec Ltd, Common Stock, M6787E101, 537, 64,357, SH,  , SOLE,  , 64,357, 0, 0],,,,,,
117,Materialise NV, ADR, 57667T100, 34,955, 2,533,004, SH,  , OTR,  , 2,312,953, 10,716, 209,335],
118,Matrix IT Ltd, Common Stock, M6859E153, 592, 49,009, SH,  , SOLE,  , 49,009, 0, 0],,,,,,
119,Mazor Robotics Ltd, ADR, 57886P103, 6,141, 105,304, SH,  , SOLE,  , 105,304, 0, 0],,,,,
120,Medidata Solutions Inc, Common Stock, 58471A105, 58,951, 804,133, SH,  , OTR,  , 636,697, 28,723, 138,713],,,
121,Medtronic PLC, Common Stock, G5960L103, 648, 6,588, SH,  , SOLE,  , 6,588, 0, 0],,,,,,
122,Mellanox Technologies Ltd, Common Stock, M51363113, 477, 6,489, SH,  , SOLE,  , 6,489, 0, 0],,,,,,
123,MercadoLibre Inc, Common Stock, 58733R102, 41,655, 122,347, SH,  , OTR,  , 98,656, 4,187, 19,504],,,
124,MGI Digital Graphic Technology, Common Stock, F4090S113, 1,984, 35,597, SH,  , SOLE,  , 35,597, 0, 0],,,,,
125,MGT Capital Investments Inc, Common Stock, 55302P202, 309, 2,804,453, SH,  , OTR,  , 2,765,809, 38,644, 0],,,
126,Microsoft Corp, Common Stock, 594918104, 15,622, 136,590, SH,  , SOLE,  , 136,590, 0, 0],,,,,
127,Moog Inc, Common Stock, 615394202, 627, 7,298, SH,  , SOLE,  , 7,298, 0, 0],,,,,,
128,MSCI Inc, Common Stock, 55354G100, 139, 783, SH,  , SOLE,  , 783, 0, 0],,,,,,,,
129,Nano Dimension Ltd, ADR, 63008G104, 1,011, 513,077, SH,  , SOLE,  , 513,077, 0, 0],,,,,
130,NanoString Technologies Inc, Common Stock, 63009R109, 61,234, 3,434,304, SH,  , OTR,  , 3,349,399, 84,905, 0],,
131,Nasdaq Inc, Common Stock, 631103108, 192, 2,232, SH,  , SOLE,  , 2,232, 0, 0],,,,,,
132,Netflix Inc, Common Stock, 64110L106, 76,950, 205,676, SH,  , OTR,  , 161,332, 9,944, 34,400],,,
133,Nice Ltd, ADR, 653656108, 565, 4,934, SH,  , SOLE,  , 4,934, 0, 0],,,,,,
134,Nintendo Co Ltd, Common Stock, J51699106, 62, 171, SH,  , OTR,  , 0, 171, 0],,,,,,,,
135,Nova Measuring Instruments Ltd, Common Stock, M7516K103, 497, 18,879, SH,  , SOLE,  , 18,879, 0, 0],,,,,,
136,NVIDIA Corp, Common Stock, 67066G104, 89,601, 318,842, SH,  , OTR,  , 249,525, 9,258, 60,059],,,
137,NXP Semiconductors NV, Common Stock, N6596X109, 2,910, 34,038, SH,  , SOLE,  , 34,038, 0, 0],,,,,
138,Opera Ltd, ADR, 68373M107, 5,681, 631,887, SH,  , OTR,  , 544,877, 0, 87,010],,,,
139,Orbotech Ltd, Common Stock, M75253100, 512, 8,620, SH,  , SOLE,  , 8,620, 0, 0],,,,,,
140,Organovo Holdings Inc, Common Stock, 68620A104, 20,644, 17,951,107, SH,  , OTR,  , 17,819,321, 131,786, 0],,
141,Pacific Biosciences of Califor, Common Stock, 69404D108, 42,125, 7,786,485, SH,  , OTR,  , 7,708,358, 78,127, 0],,
142,Partner Communications Co Ltd, Common Stock, M78465107, 729, 137,612, SH,  , SOLE,  , 137,612, 0, 0],,,,,,
143,PayPal Holdings Inc, Common Stock, 70450Y103, 11,987, 136,465, SH,  , SOLE,  , 136,465, 0, 0],,,,,
144,Pluristem Therapeutics Inc, Common Stock, 72940R102, 3,760, 2,892,231, SH,  , SOLE,  , 2,892,231, 0, 0],,,
145,Pointer Telocation Ltd, Common Stock, M7946T104, 595, 45,757, SH,  , SOLE,  , 45,757, 0, 0],,,,,,
146,PolyOne Corp, Common Stock, 73179P106, 60, 1,362, SH,  , SOLE,  , 1,362, 0, 0],,,,,,
147,Praxair Inc, Common Stock, 74005P104, 62, 388, SH,  , SOLE,  , 388, 0, 0],,,,,,,,
148,Prodways Group SA, Common Stock, F7329W102, 2,586, 549,751, SH,  , SOLE,  , 549,751, 0, 0],,,,,
149,Proto Labs Inc, Common Stock, 743713109, 13,076, 80,843, SH,  , OTR,  , 39,994, 0, 40,849],,,,
150,PTC Inc, Common Stock, 69370C100, 2,026, 19,077, SH,  , SOLE,  , 19,077, 0, 0],,,,,
151,RADCOM Ltd, Common Stock, M81865111, 287, 25,497, SH,  , SOLE,  , 25,497, 0, 0],,,,,,
152,Radware Ltd, Common Stock, M81873107, 522, 19,730, SH,  , SOLE,  , 19,730, 0, 0],,,,,,
153,Rakuten Inc, ADR, 75102W108, 2,087, 269,520, SH,  , SOLE,  , 269,520, 0, 0],,,,,
154,Rakuten Inc, Common Stock, J64264104, 78, 10,000, SH,  , SOLE,  , 10,000, 0, 0],,,,,,
155,Red Hat Inc, Common Stock, 756577102, 59,141, 433,968, SH,  , OTR,  , 341,890, 15,782, 76,296],,,
156,Redfin Corp, Common Stock, 75737F108, 181, 9,693, SH,  , SOLE,  , 9,693, 0, 0],,,,,,
157,Redhill Biopharma Ltd, ADR, 757468103, 434, 49,121, SH,  , SOLE,  , 49,121, 0, 0],,,,,,
158,Regeneron Pharmaceuticals Inc, Common Stock, 75886F107, 9,390, 23,240, SH,  , SOLE,  , 23,240, 0, 0],,,,,
159,Renishaw PLC, Common Stock, G75006117, 2,318, 37,465, SH,  , SOLE,  , 37,465, 0, 0],,,,,
160,Rockwell Automation Inc, Common Stock, 773903109, 1,981, 10,562, SH,  , SOLE,  , 10,562, 0, 0],,,,,
161,Rubius Therapeutics Inc, Common Stock, 78116T103, 4,518, 188,268, SH,  , OTR,  , 147,490, 40,778, 0],,,,
162,salesforce.com Inc, Common Stock, 79466L302, 39,997, 251,509, SH,  , OTR,  , 185,702, 11,089, 54,718],,,
163,Sandvik AB, Common Stock, W74857165, 65, 3,672, SH,  , SOLE,  , 3,672, 0, 0],,,,,,
164,Sapiens International Corp NV, Common Stock, G7T16G103, 703, 53,187, SH,  , SOLE,  , 53,187, 0, 0],,,,,,
165,SBI Holdings Inc/Japan, Common Stock, J6991H100, 196, 6,300, SH,  , SOLE,  , 6,300, 0, 0],,,,,,
166,Seres Therapeutics Inc, Common Stock, 81750R102, 30,669, 4,040,735, SH,  , OTR,  , 3,247,770, 182,117, 610,848],
167,ServiceNow Inc, Common Stock, 81762P102, 6,486, 33,152, SH,  , SOLE,  , 33,152, 0, 0],,,,,
168,Shopify Inc, Common Stock, 82509L107, 17,037, 103,595, SH,  , SOLE,  , 103,595, 0, 0],,,,,
169,Siemens AG, Common Stock, D69671218, 543, 4,239, SH,  , SOLE,  , 4,239, 0, 0],,,,,,
170,Silicom Ltd, Common Stock, M84116108, 580, 14,299, SH,  , SOLE,  , 14,299, 0, 0],,,,,,
171,SLM Solutions Group AG, Common Stock, D6T690109, 1,896, 78,120, SH,  , SOLE,  , 78,120, 0, 0],,,,,
172,SoftBank Group Corp, ADR, 83404D109, 7,749, 155,768, SH,  , SOLE,  , 155,768, 0, 0],,,,,
